t,h_t,e,d
1595590941.5999007,2020-07-24 14:42:21.599884,32.2366,27.8779
1595591005.9319322,2020-07-24 14:43:25.931917,32.2366,27.8779
1595591069.4796777,2020-07-24 14:44:29.479662,32.2366,27.8779
1595591133.0867476,2020-07-24 14:45:33.086733,32.2366,27.8779
1595591197.14773,2020-07-24 14:46:37.147715,32.2366,27.8779
1595591260.7151186,2020-07-24 14:47:40.715103,32.2366,27.8779
1595591324.2163815,2020-07-24 14:48:44.216366,32.2366,27.8779
1595591387.8482134,2020-07-24 14:49:47.848198,32.2366,27.8779
1595591451.7035582,2020-07-24 14:50:51.703542,32.2366,27.8779
1595591515.3432734,2020-07-24 14:51:55.343257,32.2366,27.8779
1595591578.9956222,2020-07-24 14:52:58.995607,32.2366,27.8779
1595591642.9839103,2020-07-24 14:54:02.983893,32.2366,27.8779
1595591706.498607,2020-07-24 14:55:06.498591,32.2366,27.8779
1595591770.0214987,2020-07-24 14:56:10.021483,32.2366,27.8779
1595591833.4068773,2020-07-24 14:57:13.406861,32.2366,27.8779
1595591896.9011312,2020-07-24 14:58:16.901115,32.2366,27.8779
1595591960.5468602,2020-07-24 14:59:20.546844,32.2366,27.8779
1595602834.915669,2020-07-24 18:00:34.915653,32.2366,27.8779
1595664039.9556816,2020-07-25 11:00:39.955666,32.2366,27.8779
1595664104.432071,2020-07-25 11:01:44.432054,32.2366,27.8779
1595664168.0727055,2020-07-25 11:02:48.072690,32.2366,27.8779
1595664232.2461452,2020-07-25 11:03:52.246129,32.2366,27.8779
1595664295.8694587,2020-07-25 11:04:55.869442,32.2366,27.8779
1595664359.7103348,2020-07-25 11:05:59.710319,32.2366,27.8779
1595664423.4389086,2020-07-25 11:07:03.438894,32.2366,27.8779
1595664492.01175,2020-07-25 11:08:12.011734,32.2366,27.8779
1595664555.557212,2020-07-25 11:09:15.557195,32.2366,27.8779
1595664619.0744011,2020-07-25 11:10:19.074385,32.2366,27.8779
1595664682.6832178,2020-07-25 11:11:22.683201,32.2366,27.8779
1595664746.1681108,2020-07-25 11:12:26.168096,32.2366,27.8779
1595664809.7781913,2020-07-25 11:13:29.778175,32.2366,27.8779
1595664873.3315842,2020-07-25 11:14:33.331568,32.2366,27.8779
1595664936.8037248,2020-07-25 11:15:36.803708,32.2366,27.8779
1595665000.3821502,2020-07-25 11:16:40.382134,32.2366,27.8779
1595665063.9672382,2020-07-25 11:17:43.967221,32.2366,27.8779
1595665127.712836,2020-07-25 11:18:47.712821,32.2366,27.8779
1595665196.2944732,2020-07-25 11:19:56.294457,32.2366,27.8779
1595665259.9557579,2020-07-25 11:20:59.955742,32.2366,27.8779
1595665323.7888362,2020-07-25 11:22:03.788822,32.2366,27.8779
1595665387.463709,2020-07-25 11:23:07.463693,32.2366,27.8779
1595665451.494378,2020-07-25 11:24:11.494362,32.2366,27.8779
1595665515.718126,2020-07-25 11:25:15.718109,32.2366,27.8779
1595665579.1718674,2020-07-25 11:26:19.171852,32.2366,27.8779
1595665642.8474722,2020-07-25 11:27:22.847456,32.2366,27.8779
